,0,1,2,3,Cluster
항의,6.7337294,-0.8920556,3.9797049,-3.4610193,9
인정,11.539827,-1.5824683,3.9601274,2.1338658,9
부정,8.418912,0.48485675,1.6188824,-0.07670065,9
포기,5.7143893,-0.2767901,6.376008,0.24670929,9
위법,5.7036004,-1.475041,0.8288998,-1.2770127,9
방해,7.83574,-1.0239471,0.64845073,1.1873971,9
처벌,11.600505,2.662371,3.267833,-1.9960995,9
의혹,5.7664948,1.3420268,1.784929,-5.890363,9
취소,7.039353,-4.724612,5.450715,-1.0510098,9
거부,9.04493,0.4649969,6.851959,-2.4037273,9
정의,5.1101713,-3.8752751,-2.0837305,1.726164,10
타격,3.6025262,-1.1336358,-0.09751813,1.6903423,10
공존,1.8944064,-1.7006747,-2.1575634,1.6646446,10
진단,3.3416803,-3.736182,-3.0205429,0.54894644,10
공유,4.3489213,-4.5808787,-3.3930354,2.974795,10
위축,1.9414549,-2.4054434,-1.0542154,1.9156946,10
엄격,5.478029,-1.157083,-2.971471,0.560515,10
성행,2.099519,-2.2026882,0.34439456,3.4941037,10
배제,7.8588214,-3.4964578,0.46987107,1.9300579,10
설정,4.7012835,-4.489655,-1.4232568,4.668492,10
소외,3.6291802,-0.97258395,-1.0023435,-0.7971194,10
방어,3.6455684,-3.5742571,0.62142223,2.4321518,10
부족,3.3581583,-2.6680076,-2.5231795,4.1382937,10
긍정,1.9497384,-0.270925,-1.3463113,-0.053010557,10
우위,2.9571307,-2.0998633,-2.1828296,-0.49672067,10
빈약,1.3269833,-2.0424745,-0.3253266,3.478411,10
응답,3.4400837,-0.54994,-0.02901488,1.136457,10
경계,2.524006,-1.4633609,-2.4464147,0.66332024,10
소비,1.6455722,-5.854864,-2.2234087,1.433483,10
스트레스,2.6921833,-0.3124755,-3.9681737,1.0637356,10
복제,1.9925948,-3.8756807,-1.4515319,2.6884754,10
삶,0.8642457,7.086642,-7.384323,-0.46877888,11
꿈,-4.2823935,7.6430225,-2.3625515,-0.39636803,11
기쁨,-1.9055082,4.5749454,-2.8711698,-2.0405638,11
외모,-2.3479779,4.0566998,-5.340716,1.1924936,11
세상,-2.7327135,8.028873,-2.8294008,0.3824503,11
사랑,-2.2074876,12.284378,-1.1752875,0.29062074,11
흥미,1.175949,3.7828004,-7.3157353,0.89760965,11
기분,-1.223457,4.4647017,-4.0461383,0.8877789,11
사람,-0.5855347,7.483969,-3.7759058,-2.1330554,11
행복,0.71550655,5.9829226,-4.279017,-1.0242534,11
분위기,0.32719946,3.69933,-6.3550806,-0.48323616,11
열정,-0.38483196,3.9195564,-4.6145945,-2.4625576,11
슬픔,-2.3836606,7.0892916,-2.6179175,-1.4084319,11
고통,4.160345,9.793248,-4.5822134,1.221731,11
마음,0.069430456,13.238906,-5.26489,0.0592879,11
상처,-0.49455184,6.3431005,-1.9829365,2.974262,11
재능,-0.71892935,6.361081,-5.3776355,-1.1599407,11
인생,-1.5289068,5.9947834,-4.0729184,-1.4700215,11
애정,-0.09218493,5.6574893,-4.453616,-2.4837778,11
정신,2.1655774,3.2905636,-6.963858,-3.7669919,11
활약,-0.567586,-0.028547587,5.4041166,5.1084714,12
동행,0.6983632,-0.001083184,6.031747,0.34487554,12
수감,1.26743,-1.8120902,6.0585284,1.1249517,12
복귀,3.6628013,-3.3775318,8.384328,3.3900495,12
탈출,-0.021681406,0.14815396,8.354124,6.0157843,12
저지,2.4824312,-1.7604877,5.4175935,0.6208986,12
지목,4.493121,-0.67623514,7.4905076,1.0074071,12
실패,6.519016,0.46361414,6.820529,3.916197,12
추방,3.681279,-0.11748989,9.950094,0.6033303,12
도망,-0.67278093,1.7441125,5.607856,1.3450358,12
공부,1.4239304,0.06533339,4.6145267,3.5981793,12
공격,3.472949,1.5567923,7.092205,5.2919126,12
패배,2.0788815,2.6979475,10.862301,6.1639085,12
납치,0.5783126,0.5909607,9.102664,2.4748645,12
양치,-2.9242206,-2.468613,-0.57505584,-0.039207455,13
나체,-2.545398,-1.4191465,0.6753437,-0.5197196,13
업고,-1.4138253,-2.3023944,0.61111814,-1.0207952,13
망신,-0.56777716,-1.2858937,1.5275851,-0.8940943,13
한우,-2.687633,-3.7155485,-0.86117077,-1.5785596,13
갈비,-3.2553306,-2.4005797,-1.0735099,-0.3889142,13
오물,-1.8286989,-2.5399687,0.20969719,-0.661298,13
놀라움,-1.4022548,-1.2730956,-0.32935315,-1.0395426,13
포르노,-2.2931705,-2.2412927,-1.2687569,-3.1927428,13
공감대,-0.71856177,-1.9173942,-2.0173435,-2.0486953,13
열기,-1.7832506,-1.8133606,-1.2129172,0.122820385,13
