,0,1,2,3,Cluster
괴짜,-2.195503,-1.320771,-0.16344133,-1.2171866,13
역량,2.6881154,-0.95135975,-6.483625,-3.0176692,20
무기력,-0.64841497,-0.4697748,-0.15427281,0.6812728,8
죄,4.406749,6.6618085,3.1022806,-3.4606528,16
우위,2.9566014,-2.0958543,-2.1882682,-0.50531584,10
행패,-1.9197274,-0.68107826,1.2286773,-1.0473342,13
고용,4.416966,-5.3199925,1.3704454,-1.3432015,3
농담,-1.2864052,1.3185428,-0.9304578,-0.23859294,8
똥,-4.565508,-0.050281167,-0.15955773,-0.052414566,15
납치,0.5788909,0.5958118,9.097495,2.4782822,12
날씬,-2.128413,-1.6300402,0.20606333,0.7536977,8
안심,-0.35462213,-0.6816753,1.7944392,0.9011397,8
납득,2.2355747,-0.20183311,1.0861263,1.5225395,18
의혹,5.766431,1.3432987,1.7797297,-5.8871765,9
추진력,-0.72792935,-1.8178523,-2.7784011,-0.411638,1
돼지,-6.166895,0.15953904,-1.0741891,1.5621717,15
자랑,-1.1272037,0.60255206,-0.3446107,4.910453,0
설득,4.8144827,5.1296277,8.578033,0.055198446,16
기품,-1.9878647,-0.7869551,-1.1092925,-0.40471992,8
무례,1.5272295,1.9082131,2.1682992,0.19856665,18
배신,2.437279,4.994943,6.4345984,0.5416257,16
기쁨,-1.9055711,4.578834,-2.8766956,-2.0345576,11
무표정,-2.533429,-0.7943512,-0.017946556,-0.53036815,13
훈계,-0.263244,-0.73501587,1.4710829,-0.81902933,8
열정,-0.38457254,3.9202847,-4.6125135,-2.4668448,11
스트레스,2.6921916,-0.31457713,-3.9660146,1.0718498,10
관심,5.108031,4.573999,-8.771524,-0.3383203,19
환호,-1.7285379,-0.88382125,1.2591577,-1.0475136,13
한숨,-2.4801452,-1.1323309,0.9338232,-0.75879973,13
위엄,-1.2147626,1.7468746,-1.2948796,-1.1462559,2
곤란,4.9896407,0.6715466,-2.0619316,2.8039646,7
염려,4.418061,2.3213089,2.30029,3.135586,0
커피,-6.479266,-3.1209261,-2.3723416,0.4980806,15
대강,0.45691165,-4.7268944,-0.047744922,-3.2130725,14
강제,5.354353,-3.7045486,3.7779698,-4.6415486,3
역경,-1.4271215,-0.40649763,-0.3042776,-1.5220367,13
기대,6.3021145,2.6881433,-3.0937312,1.6087145,7
괴물,-5.4301796,5.00469,-0.84475565,0.8643714,5
고통,4.160084,9.789721,-4.5764914,1.2233505,11
참혹,-0.47444314,-0.21992876,1.42019,0.39758414,8
유감,1.3618746,2.6645222,-0.5077874,-1.3605909,2
동행,0.6989698,-0.006691838,6.0436497,0.3380956,12
평화,1.3041618,0.13122281,-1.8880376,-6.6516247,2
재촉,0.7100962,-0.05198951,1.7884763,-0.63964975,18
고생,-0.16536076,2.7202258,0.9388344,3.580706,0
못마땅,-0.31366706,-0.055814892,1.4757863,0.61753476,8
성질,3.420663,2.161901,-10.119463,3.5100336,19
정도,0.16673782,-1.3531315,-6.4834294,2.5504372,1
육아,-1.6263071,-2.310141,-1.0136817,-2.7530618,13
탈출,-0.021243382,0.15217474,8.351702,6.0202336,12
성행,2.0992787,-2.2094882,0.35301945,3.4886134,10
어려움,5.032619,1.2758963,-5.197153,-1.2847472,7
싸움,-1.503853,5.810608,1.6441096,0.59718055,4
노여움,-0.5421326,2.0623693,1.9916925,-1.0130286,4
분쟁,6.743136,-1.5037731,-1.7982087,-2.7659264,20
정의,5.1085258,-3.8572376,-2.1141584,1.7360159,10
가난,1.1144537,5.713749,1.1289009,2.416456,0
패배,2.078333,2.699801,10.857134,6.149756,12
욕,-1.6981946,3.0549183,-2.4440873,-1.1764026,2
기회,4.765151,2.4901834,-3.638104,-4.7067475,20
